7	10
6	38
3	68
9	7
5	30
8	74
8	76
1	99
8	28
6	71
9	23
1	94
9	62
3	78
1	1
1	19
3	74
5	4
3	91
6	50
8	28
2	19
1	8
3	62
6	86
4	71
9	92
6	54
3	36
9	30
6	77
4	84
7	11
9	31
1	12
9	5
1	33
1	48
1	96
4	50
3	68
4	56
7	62
5	82
9	91
3	32
8	37
5	93
7	25
2	47
4	99
8	5
1	84
9	55
8	47
3	76
9	64
2	58
3	42
2	94
9	65
6	65
3	71
2	30
4	94
1	93
3	61
2	21
7	45
6	64
5	87
7	53
8	77
3	68
3	93
7	85
4	77
1	83
3	95
9	42
2	4
4	41
7	27
6	56
1	59
2	5
7	78
4	95
6	89
1	59
7	10
5	70
4	33
2	53
5	51
3	92
3	90
7	11
1	16
7	76
1	65
5	60
5	65
9	59
5	51
9	98
9	45
4	30
3	73
4	86
3	61
6	23
8	66
5	82
7	74
4	41
3	7
4	64
2	24
9	16
6	81
2	36
2	38
5	22
9	84
8	35
2	45
7	48
9	35
5	100
7	25
2	64
7	50
3	58
6	45
4	32
2	8
3	92
1	68
5	90
7	94
9	48
5	51
8	5
3	64
6	49
1	21
9	48
1	53
7	10
8	92
5	21
9	29
6	94
1	79
4	99
3	63
4	37
2	63
1	54
2	12
6	77
2	46
5	13
6	88
3	1
8	2
8	86
7	68
4	99
4	80
1	34
8	57
6	80
4	5
4	40
8	7
4	66
6	9
9	85
9	91
9	32
1	95
5	40
8	21
8	19
5	37
4	89
8	92
8	6
9	13
6	83
1	64
2	6
2	73
1	94
5	16
9	50
4	8
1	56
